Player,Step,Decision Time
AlphaZeroPlayer 1,1,4.410033702850342
AlphaZeroPlayer 1,3,4.4647438526153564
AlphaZeroPlayer 1,5,4.401137113571167
AlphaZeroPlayer 1,7,4.833698511123657
AlphaZeroPlayer 1,9,4.9161696434021
AlphaZeroPlayer 1,11,5.278741121292114
AlphaZeroPlayer 1,13,1.3819804191589355
MCTSPlayer 2,2,15.980718612670898
MCTSPlayer 2,4,15.911704063415527
MCTSPlayer 2,6,15.432507038116455
MCTSPlayer 2,8,14.243488550186157
MCTSPlayer 2,10,13.656023025512695
MCTSPlayer 2,12,9.7340087890625
Player,Total Time
AlphaZeroPlayer 1,29.686504364013672
MCTSPlayer 2,84.95845007896423
