Player,Step,Decision Time
CuttingOffAlphaBetaSearchPlayer 1,1,1.2663493156433105
CuttingOffAlphaBetaSearchPlayer 1,3,1.4090919494628906
CuttingOffAlphaBetaSearchPlayer 1,5,1.111236810684204
CuttingOffAlphaBetaSearchPlayer 1,7,1.2038233280181885
CuttingOffAlphaBetaSearchPlayer 1,9,1.172537088394165
CuttingOffAlphaBetaSearchPlayer 1,11,1.1669132709503174
CuttingOffAlphaBetaSearchPlayer 1,13,1.4381556510925293
CuttingOffAlphaBetaSearchPlayer 1,15,1.0973665714263916
CuttingOffAlphaBetaSearchPlayer 1,17,1.1096618175506592
CuttingOffAlphaBetaSearchPlayer 1,19,0.6577713489532471
CuttingOffAlphaBetaSearchPlayer 1,21,0.8395166397094727
CuttingOffAlphaBetaSearchPlayer 1,23,0.7813084125518799
CuttingOffAlphaBetaSearchPlayer 1,25,0.5937530994415283
CuttingOffAlphaBetaSearchPlayer 1,27,0.6100351810455322
CuttingOffAlphaBetaSearchPlayer 1,29,0.5156741142272949
CuttingOffAlphaBetaSearchPlayer 1,31,0.6406345367431641
CuttingOffAlphaBetaSearchPlayer 1,33,0.46937990188598633
CuttingOffAlphaBetaSearchPlayer 1,35,0.12500262260437012
Human 2,2,14.50406527519226
Human 2,4,7.4134674072265625
Human 2,6,7.3134026527404785
Human 2,8,31.718833446502686
Human 2,10,10.564521074295044
Human 2,12,13.033907651901245
Human 2,14,12.81131100654602
Human 2,16,18.37695622444153
Human 2,18,13.461862564086914
Human 2,20,6.923530340194702
Human 2,22,36.25442886352539
Human 2,24,11.256460428237915
Human 2,26,23.259882926940918
Human 2,28,28.823614358901978
Human 2,30,33.249764919281006
Human 2,32,7.017488956451416
Human 2,34,30.005075216293335
Player,Total Time
CuttingOffAlphaBetaSearchPlayer 1,16.208211660385132
Human 2,305.9885733127594
