Player,Step,Decision Time
DummyPlayer 1,1,0.0
DummyPlayer 1,3,0.0
DummyPlayer 1,5,0.0
DummyPlayer 1,7,0.0
DummyPlayer 1,9,0.0
DummyPlayer 1,11,0.0
DummyPlayer 1,13,0.0
DummyPlayer 1,15,0.0
DummyPlayer 1,17,0.0
DummyPlayer 1,19,0.0
DummyPlayer 1,21,0.0
DummyPlayer 1,23,0.0
DummyPlayer 1,25,0.0
DummyPlayer 1,27,0.0
DummyPlayer 1,29,0.0
DummyPlayer 1,31,0.0
DummyPlayer 1,33,0.0
DummyPlayer 1,35,0.0
DummyPlayer 1,37,0.0
DummyPlayer 2,2,0.0
DummyPlayer 2,4,0.0
DummyPlayer 2,6,0.0
DummyPlayer 2,8,0.0
DummyPlayer 2,10,0.0
DummyPlayer 2,12,0.0
DummyPlayer 2,14,0.0
DummyPlayer 2,16,0.0010008811950683594
DummyPlayer 2,18,0.0
DummyPlayer 2,20,0.0
DummyPlayer 2,22,0.0
DummyPlayer 2,24,0.0
DummyPlayer 2,26,0.0
DummyPlayer 2,28,0.0
DummyPlayer 2,30,0.0
DummyPlayer 2,32,0.0
DummyPlayer 2,34,0.0
DummyPlayer 2,36,0.0
Player,Total Time
DummyPlayer 1,0.0
DummyPlayer 2,0.0010008811950683594
